Group,Region,Subregion,Name,SciName,Stock,start.yr,end.yr,btype,MaxCatch,LastCatch,MSY_BSM,lcl,ucl,r_BSM,lcl,ucl,k_BSM,lcl,ucl,q_BSM,lcl,ucl,rel_B_BSM,lcl,ucl,rel_F_BSM,r_CMSY,lcl,ucl,k_CMSY,lcl,ucl,MSY_CMSY,lcl,ucl,rel_B_CMSY,2.5th,97.5th,rel_F_CMSY,F_msy,lcl,ucl,curF_msy,lcl,ucl,MSY,lcl,ucl,Bmsy,lcl,ucl,B,lcl,ucl,B_Bmsy,lcl,ucl,F,lcl,ucl,F_Fmsy,lcl,ucl,sel_B,sel_B_Bmsy,sel_F,sel_F_Fmsy,c00,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,F.Fmsy00,F.Fmsy01,F.Fmsy02,F.Fmsy03,F.Fmsy04,F.Fmsy05,F.Fmsy06,F.Fmsy07,F.Fmsy08,F.Fmsy09,F.Fmsy10,F.Fmsy11,F.Fmsy12,F.Fmsy13,F.Fmsy14,F.Fmsy15,B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,Runtime,st.bio1.ext,st.bio2.ext,int.bio1.ext,int.bio2.ext,end.bio1.ext,end.bio2.ext,total.num.samples
Benthic fish & inv.,Mediterranean,Adriatic Sea,European squid in Adriatic Sea,Loligo vulgaris,Loli_vul_AD,1970,2013,None,2.351,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32061957,0.263487329,0.390139856,16.08114639,13.19874167,19.59302453,1.288982559,1.184448329,1.402742524,0.103801153,0.020484988,0.249153523,0.37369801,0.160309785,0.131743664,0.195069928,0.066561362,0.054700577,0.080993934,1.288982559,1.184448329,1.402742524,8.040573197,6.599370835,9.796512267,1.66924154,0.329422093,4.006674279,0.207602306,0.040969976,0.498307046,0.059907448,0.024958355,0.303561911,0.900033378,0.374967616,4.560632499,NA,NA,NA,NA,0.353,0.506,0.295,0.397,0.385,0.754,0.4895,0.6902,0.4109,0.465,0.6046,0.15,0.109,0.1,NA,NA,1.334261473,1.956940366,1.153654887,1.534360057,1.456360021,2.675165605,1.761228682,2.681673731,1.850571516,2.265981991,3.460862146,1.009362041,0.904637626,0.900033378,NA,NA,2.575819172,2.546448833,2.532337256,2.547300042,2.57480582,2.658635677,2.640079257,2.540580732,2.359737127,2.268541565,2.093102096,1.930503694,1.738298746,1.66924154,NA,NA,6.06,1,1,0.9,0.9,0.9,0.9,1037
Benthic fish & inv.,Mediterranean,Adriatic Sea,Blackbellied angler in Adriatic Sea,Lophius spp.,Lophius_AD,1970,2013,None,0.726,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422105498,0.333662592,0.533991691,3.526564095,2.698201946,4.609237768,0.372145524,0.349101466,0.396710711,0.353501845,0.174063853,0.473261723,0.95017922,0.211052749,0.166831296,0.266995846,0.211052749,0.166831296,0.266995846,0.372145524,0.349101466,0.396710711,1.763282047,1.349100973,2.304618884,1.246646915,0.613847334,1.668987798,0.707003691,0.348127706,0.946523445,0.200537937,0.149791389,0.407267388,0.95017922,0.709734364,1.929694776,NA,NA,NA,NA,0.34,0.246,0.289,0.426,0.382,0.514,0.524,0.521,0.452,0.453,0.409,0.341,0.35,0.25,NA,NA,1.021965948,0.678696858,0.751134543,1.058168964,0.92234252,1.232199222,1.315046593,1.383109087,1.314744402,1.445336471,1.402530005,1.230886775,1.319740744,0.95017922,NA,NA,1.576345742,1.717387332,1.823010183,1.907495692,1.96236649,1.976474316,1.88798758,1.784802949,1.628943762,1.485040257,1.381720284,1.312638867,1.256574974,1.246646915,NA,NA,0.88,1,1,0.9,0.9,0.9,0.9,1533
Large predators,Mediterranean,Adriatic Sea,Hake in Adriatic Sea,Merluccius merluccius,Merl_mer_AD,1978,2013,None,36.551,9.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.421051553,0.299766932,0.591407494,191.7088141,150.9215711,243.5189955,20.17982346,18.84310972,21.61136249,0.142481094,0.054144917,0.268009031,1.659337823,0.210525776,0.149883466,0.295703747,0.119983772,0.085422241,0.168528774,20.17982346,18.84310972,21.61136249,95.85440704,75.46078557,121.7594977,27.31488159,10.38005775,51.37969343,0.284962188,0.108289833,0.536018061,0.349333383,0.185715394,0.919262708,2.911505264,1.547837603,7.661558678,NA,NA,NA,NA,8.275,8.212,7.946,8.766,9.368,12.827,16.037,13.327,12.493,12.029,10.641,9.377,9.195,9.542,NA,NA,1.400720082,1.425822698,1.328376581,1.367287359,1.348109564,1.688915823,1.997313505,1.70744004,1.751828926,1.934452027,1.945660586,1.988815082,2.27376474,2.911505264,NA,NA,36.67302458,36.21013252,36.90218494,38.20403549,39.77399841,41.58119354,42.75400968,42.1533286,40.29265909,37.62479881,35.28548465,32.76220787,30.34181171,27.31488159,NA,NA,3.37,1,1,0.9,0.9,0.9,0.9,1112
Large predators,Mediterranean,Adriatic Sea,Blue whiting in Adriatic Sea,Micromesistius poutassou,Micr_pou_AD,1975,2013,None,1.885,0.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391605627,0.304411462,0.503775272,9.470540347,7.394852547,12.12886043,0.927179222,0.84802858,1.013717379,0.15707799,0.031283016,0.330836469,0.453173922,0.195802813,0.152205731,0.251887636,0.123025249,0.095632681,0.158264014,0.927179222,0.84802858,1.013717379,4.735270174,3.697426274,6.064430217,1.48761344,0.296267068,3.133200132,0.31415598,0.062566033,0.661672939,0.088732729,0.042129451,0.445543951,0.721256241,0.342445561,3.621565118,NA,NA,NA,NA,0.855,0.798,0.457,0.604,0.663,0.397,0.3714,0.2399,0.1822,0.182,0.2234,0.055,0.1935,0.132,NA,NA,1.779427332,1.842275906,1.288096581,1.966613857,2.480344664,1.718034237,1.93368796,1.538634528,1.338469582,1.373048893,1.575789756,0.375336393,1.207954448,0.721256241,NA,NA,2.453956897,2.288611255,2.071246588,1.927111494,1.797830183,1.671580384,1.523967386,1.37307831,1.282973994,1.266020135,1.309303618,1.331125266,1.391756076,1.48761344,NA,NA,3.15,1,1,0.9,0.9,0.9,0.9,1249
Benthic fish & inv.,Mediterranean,Adriatic Sea,Red mullet in Adriatic Sea,Mullus barbatus,Mull_bar_AD,1975,2013,None,5.567,3.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427414932,0.315846166,0.578393989,35.7758681,28.05526381,45.62112647,3.822785057,3.609100188,4.049121619,0.241791582,0.099108692,0.382394117,1.824589998,0.213707466,0.157923083,0.289196995,0.206690665,0.152737888,0.279701595,3.822785057,3.609100188,4.049121619,17.88793405,14.0276319,22.81056323,8.650303728,3.545699476,13.6804815,0.483583163,0.198217383,0.764788235,0.389928505,0.246555649,0.951293256,1.886531767,1.192872691,4.602497444,NA,NA,NA,NA,3.945,3.34,2.745,2.718,3.898,5.567,4.918,5.325,5.015,4.103,2.77,3.762,3.165,3.373,NA,NA,1.279182806,1.086946057,0.893501271,0.867070546,1.191642594,1.652991622,1.486496001,1.734138113,1.796493558,1.642265741,1.248064988,1.817873394,1.686986214,1.886531767,NA,NA,14.43094261,14.37867212,14.37564963,14.66814938,15.30650797,15.75908051,15.48121651,14.36865887,13.06247819,11.69064275,10.38539153,9.683569258,8.861073475,8.650303728,NA,NA,1.51,1,1,0.9,0.9,0.9,0.9,1198
Benthic fish & inv.,Mediterranean,Adriatic Sea,Saddled seabream in Adriatic Sea,Oblada melanura,Obla_mel_AD,1972,2014,None,0.253,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774916498,0.702296219,0.855046009,0.981426603,0.910311686,1.058097124,0.190130917,0.182958129,0.19758491,0.135652678,0.088876499,0.204503487,0.659125036,0.387458249,0.351148109,0.427523004,0.210238996,0.190536726,0.231978562,0.190130917,0.182958129,0.19758491,0.490713302,0.455155843,0.529048562,0.133133147,0.087225761,0.200705162,0.271305356,0.177752998,0.409006973,0.255383432,0.169402718,0.389793105,1.214729126,0.805762589,1.854047591,NA,NA,NA,NA,0.125,0.061,0.036,0.02,0.045,0.077,0.078,0.083,0.058,0.064,0.066,0.057,0.049,0.042,0.034,NA,1.744168246,1.327411309,1.075405047,0.759826167,1.530000604,2.160972201,1.839139888,1.798157545,1.417546012,1.611046082,1.872286581,1.768510789,1.470547713,1.408388503,1.214729126,NA,0.213033195,0.170588057,0.145596749,0.129105379,0.136473056,0.150212901,0.163880161,0.170966743,0.160965157,0.158607043,0.149407455,0.142863088,0.145259633,0.137419977,0.133133147,NA,45.34,0.28,0.28,0.9,0.9,0.9,0.9,20
Benthic fish & inv.,Mediterranean,Adriatic Sea,Common octopus in Adriatic Sea,Octopus vulgaris,Octo_vul_AD,1995,2013,None,2.14,0.3061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.757675565,0.588972963,0.974700534,7.661334622,5.999339767,9.78375129,1.451201509,1.334791043,1.577764422,0.131145042,0.056819895,0.223765046,0.804180864,0.378837782,0.294486481,0.487350267,0.198730788,0.154481768,0.255654286,1.451201509,1.334791043,1.577764422,3.830667311,2.999669883,4.891875645,1.004746054,0.435316227,1.714338896,0.262290085,0.11363979,0.447530093,0.304654095,0.178552794,0.703166987,1.532998979,0.898465687,3.538289129,NA,NA,NA,NA,1.224,1.82,1.325,1.091,0.782,0.205,0.1944,0.2279,0.142,0.3193,0.2327,0.162,0.2262,0.3061,NA,NA,1.330689563,2.075627675,1.624909762,1.555847137,1.779294318,0.726160397,1.190182092,1.776731605,1.096711271,2.237760863,1.569074611,0.99460864,1.31151123,1.532998979,NA,NA,2.42801509,2.314561099,2.152451353,1.88288801,1.490647849,1.194692749,0.90873447,0.805298381,0.809083968,0.84935295,0.865908437,0.907458913,0.933804303,1.004746054,NA,NA,4.18,1,1,0.9,0.9,0.9,0.9,1210
Benthic fish & inv.,Mediterranean,Adriatic Sea,Common pandora in Adriatic Sea,Pagellus erythrinus,Page_ery_AD,1970,2013,None,1.463,0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.367879441,0.311533002,0.434417164,3.840497278,3.084265337,4.782149957,0.353209998,0.318336046,0.391904418,0.110028599,0.032416959,0.237564401,1.016385652,0.183939721,0.155766501,0.217208582,0.080954519,0.068555079,0.095596623,0.353209998,0.318336046,0.391904418,1.920248639,1.542132668,2.391074978,0.422564533,0.124497241,0.912365434,0.220057197,0.064833917,0.475128801,0.186953693,0.086588112,0.634552214,2.309366985,1.069589603,7.838379175,NA,NA,NA,NA,0.201,0.16,0.096,0.075,0.08,0.12,0.1664,0.1199,0.0938,0.085,0.21,0.109,0.096,0.079,NA,NA,2.001788537,1.934674262,1.372086852,1.232470627,1.352510353,1.905047111,2.459327522,1.822542399,1.526656054,1.469020639,3.484771974,1.951178408,2.171244289,2.309366985,NA,NA,0.723960554,0.657025217,0.604325318,0.563596538,0.555649168,0.573407986,0.594284564,0.585998825,0.566313339,0.549568065,0.560852214,0.539996236,0.480404698,0.422564533,NA,NA,15.63,1,1,0.9,0.9,0.9,0.9,1103
Benthic fish & inv.,Mediterranean,Adriatic Sea,Common spiny lobster in Adriatic Sea,Palinurus elephas,Pali_ele_AD,1972,2014,None,0.119,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175959751,0.11891159,0.260376921,1.059553466,0.621459883,1.806477904,0.046609691,0.035309844,0.061525713,0.086596829,0.023690908,0.18116589,1.238773168,0.087979875,0.059455795,0.130188461,0.030475113,0.020594733,0.045095632,0.046609691,0.035309844,0.061525713,0.529776733,0.310729941,0.903238952,0.091753971,0.025101783,0.191954946,0.173193659,0.047381815,0.36233178,0.108987109,0.052095558,0.398378072,3.576265944,1.709445924,13.07224264,NA,NA,NA,NA,0.012,0.002,0.009,0.002,0.002,0.001,0,0,0,0.015,0.017,0.015,0.01,0.013,0.01,NA,3.099023181,0.596968348,3.052948379,0.714322804,0.69923079,0.34594114,0,0,0,3.606843134,3.952285921,3.716945478,2.748712345,4.061880395,3.576265944,NA,0.1079737,0.10043362,0.094210931,0.091813705,0.092799257,0.093290767,0.096686092,0.100246694,0.105200781,0.111897858,0.113799422,0.110228096,0.104658649,0.098163013,0.091753971,NA,1.14,1,1,0.9,0.9,0.9,0.9,1452
Benthic fish & inv.,Mediterranean,Adriatic Sea,Caramote prawn in Adriatic,Peneaus kerathurus,Pena_ker_AD,1972,2015,None,0.69049596,0.52833015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.191246217,0.957432554,1.482159284,1.551011777,1.19495213,2.013166446,0.461909228,0.425156674,0.501838846,0.60073749,0.479171649,0.730059994,0.951993592,0.595623108,0.478716277,0.741079642,0.595623108,0.478716277,0.741079642,0.461909228,0.425156674,0.501838846,0.775505889,0.597476065,1.006583223,0.931750922,0.74320087,1.132331648,1.20147498,0.958343297,1.460119988,0.567029383,0.466586049,0.71088473,0.951993592,0.783357869,1.193514355,NA,NA,NA,NA,0.191736999,0.319100841,0.14613723,0.163232398,0.16796548,0.17900295,0.31793161,0.69049596,0.50168791,0.51524323,0.55032224,0.54588176,0.32405012,0.38616318,0.37719005,0.52833015,0.230791847,0.386401651,0.184328,0.205048153,0.209375768,0.215682235,0.383279963,0.863710648,0.722780449,0.838502576,1.006491505,1.092752904,0.679757077,0.805352009,0.755280483,0.951993592,1.39480638,1.38649222,1.331061194,1.33653077,1.346858833,1.393395088,1.392663056,1.342212656,1.165348175,1.031659435,0.917984634,0.838696972,0.800362828,0.805032803,0.838456289,0.931750922,0.54,1,1,0.9,0.9,0.9,0.9,1706
