"Group","Region","Subregion","Name","SciName","Stock","start.yr","end.yr","btype","MaxCatch","LastCatch","MSY_BSM","lcl","ucl","r_BSM","lcl","ucl","k_BSM","lcl","ucl","q_BSM","lcl","ucl","rel_B_BSM","lcl","ucl","rel_F_BSM","r_CMSY","lcl","ucl","k_CMSY","lcl","ucl","MSY_CMSY","lcl","ucl","rel_B_CMSY","2.5th","97.5th","rel_F_CMSY","F_msy","lcl","ucl","curF_msy","lcl","ucl","MSY","lcl","ucl","Bmsy","lcl","ucl","B","lcl","ucl","B_Bmsy","lcl","ucl","F","lcl","ucl","F_Fmsy","lcl","ucl","sel_B","sel_B_Bmsy","sel_F","sel_F_Fmsy","c00","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10","c11","c12","c13","c14","c15","F.Fmsy00","F.Fmsy01","F.Fmsy02","F.Fmsy03","F.Fmsy04","F.Fmsy05","F.Fmsy06","F.Fmsy07","F.Fmsy08","F.Fmsy09","F.Fmsy10","F.Fmsy11","F.Fmsy12","F.Fmsy13","F.Fmsy14","F.Fmsy15","B00","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","B13","B14","B15","Runtime","total.num.samples"
"Plankton feeders","Mediterranean","Adriatic Sea","Sand smelt in Adriatic Sea","Atherina boyeri","Athe_boy_AD",1970,2014,"None",3.835,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.358796465405952,0.282239296140523,0.456119701785639,31.2373243003729,21.4375146566885,45.51695684286,2.80196038692831,1.9441709416657,4.03821590049536,0.083935223779399,0.0192716907335794,0.387917663328457,0.739848852483432,0.179398232702976,0.141119648070262,0.22805985089282,0.0602313232302119,0.0473796369617898,0.0765690184791408,2.80196038692831,1.9441709416657,4.03821590049536,15.6186621501865,10.7187573283443,22.75847842143,2.62191180542146,0.601996053261311,12.1175098512339,0.167870447558798,0.0385433814671587,0.775835326656915,0.132727576602852,0.0287187717833432,0.578076879598648,2.20363042823334,0.476807917262192,9.59761214923278,NA,NA,NA,NA,0.647,0.497,0.507,0.705,0.668,1.048,1.239,0.9,0.93,1.183,0.687,0.692,0.553,0.375,0.348,NA,1.37238011652241,1.13143323302449,1.13494346712688,1.45866541873766,1.2793881590581,1.92030275980942,2.24967150385084,1.77111048206278,2.10412248905015,2.97595566863173,1.98744501497943,2.43251635402901,2.59596097707367,2.01635088610589,2.20363042823334,NA,4.53015194709644,4.37281965319717,4.40975744706738,4.58685015117456,4.76743636764896,4.87409091418356,4.89636671410911,4.70323051968949,4.38635525343691,4.15984339315531,3.87907918191862,3.51903025070734,3.04516846072662,2.84531541001078,2.62191180542146,NA,344.25999999998,318
"Large predators","Mediterranean","Adriatic Sea","Garfish in Adriatic Sea","Belone belone","Belo_bel_AD",1970,2014,"None",0.376,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478308192534084,0.299317618550704,0.764334315343578,1.5454360310608,1.09517475851308,2.18081407331161,0.184798678673435,0.168364859467148,0.202836576156862,0.100173538325004,0.0124175475996154,0.28867865417341,0.108038394024658,0.239154096267042,0.149658809275352,0.382167157671789,0.0958276481119525,0.0599674098664755,0.153132145662371,0.184798678673435,0.168364859467148,0.202836576156862,0.772718015530401,0.547587379256538,1.09040703665581,0.154811795486311,0.0191905254778582,0.446134393557729,0.200347076650007,0.0248350951992308,0.57735730834682,0.0258378244851097,0.00896590816077131,0.208436189233857,0.269628077013058,0.0935628530744771,2.1751153590908,NA,NA,NA,NA,0.05,0.038,0.021,0.025,0.022,0.082,0.058,0.065,0.016,0.028,0.012,0.006,0.004,0.005,0.004,NA,1.78892453162613,1.67922762882791,1.03979537074086,1.25306497916439,1.05051149357193,3.42389399865541,2.45324174564449,3.07580424281727,1.02915252970096,2.2183441002165,1.19865999579107,0.587050589151457,0.373808954824216,0.403700416654396,0.269628077013058,NA,0.212493476290474,0.19120252435793,0.180631012637219,0.17953115181159,0.183936342005373,0.196699556119119,0.195434140299881,0.184771056280092,0.158480826498885,0.142797685467255,0.127174262094487,0.128497438415983,0.131480623301539,0.141452951079502,0.154811795486311,NA,290.01999999999,2133
"Plankton feeders","Mediterranean","Adriatic Sea","Purple dye murex in Adriatic","Bolinus brandaris","Boli_bra_AD",1972,2015,"None",1.46093387,0.90030606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19124621661236,0.957432554090967,1.48215928373209,5.35406172831291,3.1125673561815,9.20975314274081,1.59450144434044,0.845102186263266,3.00843483466239,0.72948684008047,0.511395868971181,0.866734049910937,0.387006089927334,0.595623108306179,0.478716277045483,0.741079641866047,0.595623108306179,0.478716277045483,0.741079641866047,1.59450144434044,0.845102186263266,3.00843483466239,2.67703086415645,1.55628367809075,4.6048765713704,3.90571757178276,2.73804505007592,4.6405476052538,1.45897368016094,1.02279173794236,1.73346809982187,0.230509770215939,0.194008581870967,0.328813457607294,0.387006089927334,0.325723732282121,0.552049531023682,NA,NA,NA,NA,0.6807750968,0.8811650963,0.4861744623,0.9899414017,1.230963691,0.9591,0.48267349,0.58317095,0.54651529,0.54662236,0.97178212,1.46093387,1.1061448,1.31915462,1.19881072,0.90030606,0.243004035369489,0.312243108231193,0.176485579700982,0.355801678644803,0.452602203249032,0.363162766503872,0.190599983064379,0.223731957639427,0.198271424296296,0.190571128935496,0.339255233102857,0.523883952007995,0.426213126999022,0.539396460793421,0.515522096304562,0.387006089927334,4.70347279381312,4.73797632066945,4.62499617688773,4.67121607167445,4.56622219381181,4.43395250218287,4.25166511985279,4.37619152356515,4.62775812275022,4.81569249628308,4.80917753769567,4.68191930426726,4.35726147097051,4.10597283345261,3.90419763843781,3.90571757178276,57.4900000000198,36290
"Plankton feeders","Mediterranean","Adriatic Sea","Bogue in Adriatic Sea","Boops boops","Boop_Boo_AD",1970,2014,"None",2.425,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.440431654505999,0.355759620325907,0.545255929026428,14.495777669733,11.3478380478035,18.5169694319882,1.5960998356079,1.26076152653506,2.02063168300269,0.0847084262830028,0.0135704041117899,0.33134436712124,0.380908411083425,0.220215827253,0.177879810162954,0.272627964513214,0.0746165446768448,0.0602716751456924,0.0923755433386108,1.5960998356079,1.26076152653506,2.02063168300269,7.2478888348665,5.67391902390174,9.25848471599409,1.22791451415137,0.196713560892937,4.80309427790788,0.169416852566006,0.0271408082235798,0.66268873424248,0.083882060854362,0.0214445093184522,0.523603962698122,1.12417509035892,0.287396172140184,7.01726359704524,NA,NA,NA,NA,0.411,0.357,0.236,0.181,0.228,0.312,0.257,0.239,0.183,0.189,0.21,0.156,0.177,0.123,0.103,NA,1.96081216299423,1.95891120887351,1.54039147547165,1.34613122514171,1.80413252467151,2.32328241236006,2.00926023296312,1.99685247037023,1.65786181395589,1.73294886034026,2.13473516826095,1.56210157028698,1.77895644926891,1.25840381890708,1.12417509035892,NA,1.85724592556457,1.73178204201063,1.58784076548078,1.48751751358025,1.44211437172215,1.48659543229505,1.45082478662599,1.40343550679971,1.34777650121103,1.33969065547288,1.27234282293842,1.2819590839854,1.27958893070642,1.26826217858229,1.22791451415137,NA,367.209999999992,69
"Plankton feeders","Mediterranean","Adriatic Sea","Striped venus in Adriatic Sea","Chamelea gallina","Cham_gal_AD",1970,2014,"None",48.973,13.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495345391068622,0.326198234869778,0.752202281385366,208.274286625822,149.831384238548,289.513299833315,25.7919269895516,24.0008601492627,27.7166523906767,0.180446245414363,0.0187883013745055,0.298013937143746,1.5023453560062,0.247672695534311,0.163099117434889,0.376101140692683,0.178766432003284,0.117722493486088,0.271464154936215,25.7919269895516,24.0008601492627,27.7166523906767,104.137143312911,74.9156921192739,144.756649916657,37.5823130379845,3.9131200656861,62.0686401631663,0.360892490828726,0.037576602749011,0.596027874287491,0.37208992394551,0.225298958753387,3.57361894479671,2.08143061186495,1.26029789949182,19.9904361504013,NA,NA,NA,NA,31.583,32.315,23.652,38.919,34.849,14.265,17.4013,26.7281,23.2779,14.9565,17.8315,18.154,19.0196,14.493,13.984,NA,1.39269617745392,1.48450046747714,1.16888408836196,2.02542517851864,1.9786636056695,0.919689338447171,1.25231913139847,1.98666617230444,1.7287068819173,1.18513820486476,1.60562833169806,1.76581326375971,1.96348015819837,1.7652648305277,2.08143061186495,NA,91.5627580350398,87.8912600502728,81.6992919583789,77.5831372889002,71.111562933833,62.6256855837743,56.103318223757,54.3206627179659,54.3681188356505,51.5085417873636,48.3192510748358,46.4903210124428,45.1269724472446,41.5454032251024,37.5823130379845,NA,55.6600000000035,1626
"Benthic fish & inv.","Mediterranean","Adriatic Sea","Conger eel in Adriatic Sea","Conger conger","Cong_con_AD",1970,2014,"None",0.203,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.340445576579985,0.257335396543892,0.450397388658928,1.49791407641717,1.09420650150341,2.050569592893,0.12748955535328,0.110240356963721,0.14743771856187,0.186840204901672,0.0170940621833019,0.298832072591332,1.95212674520429,0.170222788289993,0.128667698271946,0.225198694329464,0.127217842572144,0.0961611964374274,0.168304680768424,0.12748955535328,0.110240356963721,0.14743771856187,0.748957038208586,0.547103250751703,1.0252847964465,0.279870572962883,0.0256054363675183,0.447624768019475,0.373680409803343,0.0341881243666037,0.597664145182664,0.332296457664143,0.207763302311176,3.63204120660778,2.61202714136345,1.63313021279507,28.5497783422013,NA,NA,NA,NA,0.054,0.04,0.021,0.025,0.019,0.126,0.13,0.117,0.095,0.081,0.103,0.047,0.103,0.087,0.093,NA,1.33290900799364,1.18579032857658,0.612159131376208,0.656086348277158,0.416043864628106,2.10819539393889,1.95163389420179,1.73163787226374,1.52552693979829,1.48624651723793,2.06436101144582,1.06074458400475,2.4294956320036,2.25358206741975,2.61202714136345,NA,0.298539109958434,0.272414768885471,0.274714818570108,0.289530359151768,0.316965391017719,0.362605550598131,0.391315724940708,0.396927406084649,0.370131857941625,0.346259493781649,0.331306833406662,0.312210944250758,0.30539727411908,0.291425494811438,0.279870572962883,NA,123.619999999995,2312
"Benthic fish & inv.","Mediterranean","Adriatic Sea","Common dentex in Adriatic Sea","Dentex dentex","Dent_den_AD",1970,2014,"None",0.178,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.394553710371601,0.229925485186724,0.677056874498165,1.03875527670439,0.703727017385375,1.53328279037826,0.102461187147949,0.0866713840463333,0.121127578465285,0.156919419233677,0.0135234960031228,0.387607017718973,1.02623747254769,0.197276855185801,0.114962742593362,0.338528437249082,0.123826278176008,0.0721595472050441,0.212486743068841,0.102461187147949,0.0866713840463333,0.121127578465285,0.519377638352196,0.351863508692687,0.76664139518913,0.16300087474637,0.0140476028327345,0.402628834943236,0.313838838467354,0.0270469920062455,0.775214035437946,0.202452901258033,0.0819613428945109,2.34915525395561,1.63497525921166,0.661905890266767,18.9713790041924,NA,NA,NA,NA,0.073,0.022,0.021,0.031,0.017,0.015,0.021,0.023,0.011,0.021,0.025,0.028,0.026,0.028,0.033,NA,2.71216706212616,1.1116817859038,1.34090430186243,2.33439181737596,1.33129552832105,1.17122964052144,1.6250960992149,1.68480711100862,0.773577343650601,1.39585603413799,1.54257421754308,1.60012953008932,1.41561941241433,1.46728640115838,1.63497525921166,NA,0.188231268549584,0.161402275435103,0.143581773395869,0.132215547737499,0.129650973414228,0.129841391140429,0.130424350051562,0.134053260735468,0.136814784094544,0.140727149511001,0.146061423157159,0.151771422047029,0.155489825784249,0.158493015038646,0.16300087474637,NA,94.8500000000058,1400
"Plankton feeders","Mediterranean","Adriatic Sea","Anchovy in Adriatic Sea","Engraulis encrasicolus","Engr_enc_AD",1975,2013,"None",64.087,32.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.740818220681718,0.507885119344745,1.08058223245856,193.517188703042,128.185570928838,292.146004048449,35.8402648515791,30.6757600478,41.8742545459263,0.17285823149289,0.0162028743895154,0.386475220115442,2.64402695482489,0.370409110340859,0.253942559672372,0.54029111622928,0.256113054969503,0.175584247062976,0.373575067370852,35.8402648515791,30.6757600478,41.8742545459263,96.7585943515212,64.0927854644189,146.073002024224,33.4510390026839,3.13553470076755,74.7895981001298,0.345716462985781,0.0324057487790308,0.772950440230884,0.979371672053938,0.438042198811376,10.4482976992666,3.82398184337209,1.71034701399168,40.7956466745153,NA,NA,NA,NA,34.648,34.098,29.437,28.97,41.274,49.811,64.087,63.133,55.882,48.728,51.844,42.659,37.347,32.761,NA,NA,0.696781722357665,0.699939538083237,0.607740433863582,0.599321413477287,0.846033430560756,1.02505407253147,1.3640571860999,1.456128359991,1.48591475686228,1.51223839155819,1.86759833580372,1.87246401435268,2.10880636046798,3.82398184337209,NA,NA,134.245507493051,131.518461571042,130.765673976974,130.498956907232,131.706550619316,131.188819918773,126.839845547044,117.050994184637,101.530467392691,86.9914695232528,74.9433951383915,61.5057234008224,48.0948369787466,33.4510390026839,NA,NA,256.25,1868
"Benthic fish & inv.","Mediterranean","Adriatic Sea","Lobster in Adriatic Sea","Homarus gammarus","Hom_gam_AD",1970,2013,"None",0.048,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.372506794895013,0.304411461787342,0.455834716039346,0.317957476370711,0.237970241256547,0.424830248716026,0.0296103301089401,0.0249243472336668,0.0351773164183853,0.123347050205914,0.0139072376457128,0.274847819337573,0.821389671636952,0.186253397447506,0.152205730893671,0.227917358019673,0.0918952286639182,0.0750965117206777,0.112451735209807,0.0296103301089401,0.0249243472336668,0.0351773164183853,0.158978738185356,0.118985120628273,0.212415124358013,0.0392191168012437,0.0044219101851186,0.0873899190225679,0.246694100411827,0.0278144752914257,0.549695638675146,0.152986616970674,0.0686578047800976,1.35687966259294,1.6647939092701,0.74713133400206,14.7655072229632,NA,NA,NA,NA,0.024,0.02,0.008,0.008,0.008,0.011,0.009,0.012,0.016,0.005,0.005,0.003,0.006,0.006,NA,NA,1.9095716195834,2.24637883005046,1.13051509852367,1.38695586167693,1.49956827192462,2.08765386312295,1.70792004682553,2.33574166142217,3.35660730832103,1.28778905777359,1.44452946793241,0.940307803451698,1.76888223978365,1.6647939092701,NA,NA,0.0732386058146724,0.0616418866124197,0.0549552557487878,0.0496153542565016,0.0477160291556994,0.0474208701836179,0.0474230967209308,0.0468253080064003,0.0451036975895613,0.0407066216036353,0.0384347643403274,0.0369001414118986,0.038047715691731,0.0392191168012437,NA,NA,270.039999999979,1401
"Benthic fish & inv.","Mediterranean","Adriatic Sea","Shortfin squid in Adriatic Sea","Illex coindettii","Ille_coi_AD",1985,2013,"None",4.1,0.6882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43171052342908,0.29700687271281,0.627507284047341,35.5083146847202,20.173905943524,62.4985768883222,3.83232827965625,2.03428376379249,7.2196122804779,0.118386619343799,0.0128031039730811,0.290383178168363,0.758436717059332,0.21585526171454,0.148503436356405,0.31375364202367,0.102217498807822,0.0703232791646874,0.148576931943948,3.83232827965625,2.03428376379249,7.2196122804779,17.7541573423601,10.086952971762,31.2492884441611,4.2037093341198,0.454616644817356,10.3110172695514,0.236773238687599,0.0256062079461623,0.580766356336725,0.163712556054759,0.0667441419220844,1.51380291031026,1.60160988054064,0.652961994771263,14.8096258269472,NA,NA,NA,NA,0.537,0.609,0.487,0.357,0.656,1.55,1.3756,1.3284,1.2832,1.12,1.002,0.841,0.6806,0.6882,NA,NA,1.11514395227452,1.19588314497796,0.911187302023203,0.617443500330526,0.991781590245381,1.99751695044079,1.64806245012688,1.65334324439626,1.78125054336832,1.77509732397383,1.73300038006779,1.68236337851169,1.51379269751197,1.60160988054064,NA,NA,4.45015759148762,4.57633689672867,4.68828889965741,4.87628646520845,5.21551997468426,5.64903579998141,5.85885791556769,5.74826307016514,5.44300063713135,5.09391438415106,4.87627563428868,4.53410746620361,4.29998047958676,4.2037093341198,NA,NA,102.839999999997,1797
